"lon","lat"
126.92,36.91
127.28,36.91
126.84,36.95
126.88,36.95
126.92,36.95
126.96,36.95
127,36.95
127.04,36.95
127.08,36.95
127.24,36.95
127.28,36.95
127.32,36.95
127.36,36.95
126.84,36.99
126.88,36.99
126.92,36.99
126.96,36.99
127,36.99
127.04,36.99
127.08,36.99
127.12,36.99
127.16,36.99
127.2,36.99
127.24,36.99
127.28,36.99
127.32,36.99
127.36,36.99
126.76,37.03
126.8,37.03
126.84,37.03
126.88,37.03
126.92,37.03
126.96,37.03
127,37.03
127.04,37.03
127.08,37.03
127.12,37.03
127.16,37.03
127.2,37.03
127.24,37.03
127.28,37.03
127.32,37.03
127.36,37.03
127.4,37.03
127.44,37.03
126.8,37.07
126.84,37.07
126.88,37.07
126.92,37.07
126.96,37.07
127,37.07
127.04,37.07
127.08,37.07
127.12,37.07
127.16,37.07
127.2,37.07
127.24,37.07
127.28,37.07
127.32,37.07
127.36,37.07
127.4,37.07
127.44,37.07
127.48,37.07
127.52,37.07
127.56,37.07
126.8,37.11
126.84,37.11
126.88,37.11
126.92,37.11
126.96,37.11
127,37.11
127.04,37.11
127.08,37.11
127.12,37.11
127.16,37.11
127.2,37.11
127.24,37.11
127.28,37.11
127.32,37.11
127.36,37.11
127.4,37.11
127.44,37.11
127.48,37.11
127.52,37.11
127.56,37.11
127.6,37.11
126.72,37.15
126.84,37.15
126.88,37.15
126.92,37.15
126.96,37.15
127,37.15
127.04,37.15
127.08,37.15
127.12,37.15
127.16,37.15
127.2,37.15
127.24,37.15
127.28,37.15
127.32,37.15
127.36,37.15
127.4,37.15
127.44,37.15
127.48,37.15
127.52,37.15
127.56,37.15
127.6,37.15
127.68,37.15
126.68,37.19
126.72,37.19
126.76,37.19
126.8,37.19
126.84,37.19
126.88,37.19
126.92,37.19
126.96,37.19
127,37.19
127.04,37.19
127.08,37.19
127.12,37.19
127.16,37.19
127.2,37.19
127.24,37.19
127.28,37.19
127.32,37.19
127.36,37.19
127.4,37.19
127.44,37.19
127.48,37.19
127.52,37.19
127.56,37.19
127.6,37.19
127.64,37.19
127.68,37.19
127.72,37.19
126.56,37.23
126.6,37.23
126.68,37.23
126.72,37.23
126.76,37.23
126.8,37.23
126.84,37.23
126.88,37.23
126.92,37.23
126.96,37.23
127,37.23
127.04,37.23
127.08,37.23
127.12,37.23
127.16,37.23
127.2,37.23
127.24,37.23
127.28,37.23
127.32,37.23
127.36,37.23
127.4,37.23
127.44,37.23
127.48,37.23
127.52,37.23
127.56,37.23
127.6,37.23
127.64,37.23
127.68,37.23
127.72,37.23
126.56,37.27
126.88,37.27
126.92,37.27
126.96,37.27
127,37.27
127.04,37.27
127.08,37.27
127.12,37.27
127.16,37.27
127.2,37.27
127.24,37.27
127.28,37.27
127.32,37.27
127.36,37.27
127.4,37.27
127.44,37.27
127.48,37.27
127.52,37.27
127.56,37.27
127.6,37.27
127.64,37.27
127.68,37.27
127.72,37.27
126.76,37.31
126.8,37.31
126.84,37.31
126.88,37.31
126.92,37.31
126.96,37.31
127,37.31
127.04,37.31
127.08,37.31
127.12,37.31
127.16,37.31
127.2,37.31
127.24,37.31
127.28,37.31
127.32,37.31
127.36,37.31
127.4,37.31
127.44,37.31
127.48,37.31
127.52,37.31
127.56,37.31
127.6,37.31
127.64,37.31
127.68,37.31
127.72,37.31
127.76,37.31
126.72,37.35
126.76,37.35
126.8,37.35
126.84,37.35
126.88,37.35
126.92,37.35
126.96,37.35
127,37.35
127.04,37.35
127.08,37.35
127.12,37.35
127.16,37.35
127.2,37.35
127.24,37.35
127.28,37.35
127.32,37.35
127.36,37.35
127.4,37.35
127.44,37.35
127.48,37.35
127.52,37.35
127.56,37.35
127.6,37.35
127.64,37.35
127.68,37.35
127.72,37.35
126.76,37.39
126.8,37.39
126.84,37.39
126.88,37.39
