"name","M12D1","M12D10","M12D11","M12D12","M12D13","M12D14","M12D15","M12D16","M12D17","M12D18","M12D19","M12D2","M12D20","M12D21","M12D22","M12D23","M12D24","M12D25","M12D26","M12D27","M12D28","M12D29","M12D3","M12D30","M12D31","M12D4","M12D5","M12D6","M12D7","M12D8","M12D9","M1D1","M1D10","M1D11","M1D12","M1D13","M1D14","M1D15","M1D16","M1D17","M1D18","M1D19","M1D2","M1D20","M1D21","M1D22","M1D23","M1D24","M1D25","M1D26","M1D27","M1D28","M1D29","M1D3","M1D30","M1D31","M1D4","M1D5","M1D6","M1D7","M1D8","M1D9","M2D1","M2D10","M2D11","M2D12","M2D13","M2D14","M2D15","M2D16","M2D17","M2D18","M2D19","M2D2","M2D20","M2D21","M2D22","M2D23","M2D24","M2D25","M2D26","M2D27","M2D28","M2D29","M2D3","M2D4","M2D5","M2D6","M2D7","M2D8","M2D9","M3D1","lat","lon"
"가남읍",58.7826086956522,92.625,120.227272727273,81.875,55.2083333333333,26.2916666666667,27.9545454545455,36.5,47.7083333333333,42.6666666666667,39.625,43.9411764705882,43,61.25,80,100.708333333333,75.75,35.5416666666667,61.8333333333333,102.416666666667,103.333333333333,80.9166666666667,51.8571428571429,37.7916666666667,37.5416666666667,52.5833333333333,67.7083333333333,81.4583333333333,71.7083333333333,57.5,79.9583333333333,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.201739,127.545135
"가평",27.1304347826087,51.125,84.2272727272727,60.75,39.5833333333333,16.375,15.5416666666667,18.4583333333333,24.5833333333333,32.5,26.3333333333333,22.6521739130435,22.9166666666667,35.3333333333333,55.2916666666667,70.0416666666667,63.9166666666667,25.9166666666667,43.4782608695652,54.5416666666667,48.125,55.5,27.3913043478261,34.4545454545455,23.375,31.2916666666667,31.2916666666667,47.4347826086956,48.5416666666667,19.9583333333333,29.0833333333333,26.6666666666667,49.0416666666667,56.1666666666667,49.25,26.9166666666667,29.7916666666667,33.0416666666667,34.5833333333333,37.2173913043478,47.1666666666667,56.3333333333333,47,58.625,34.0714285714286,NA,59.2,47.7916666666667,27.8333333333333,18.4583333333333,11.4583333333333,11.2083333333333,16.625,53.5416666666667,14.8333333333333,21.9166666666667,43.9583333333333,39.5416666666667,37.1666666666667,21.3636363636364,40.3333333333333,42.5833333333333,61.2083333333333,41.4583333333333,42.125,45.7916666666667,41.5,62.9166666666667,50,16.875,26.2916666666667,25.75,26.5,59.5416666666667,46.4166666666667,61.5416666666667,64.4782608695652,32.8571428571429,49.3,15.0833333333333,10.8695652173913,8.47826086956522,18.5,19.6666666666667,25.5416666666667,26.0833333333333,20.7083333333333,26.875,34.2608695652174,37.4583333333333,35.5416666666667,5,37.831217,127.509769
"강남구",28.8695652173913,53.375,92.75,47.375,31.25,17.375,14.6666666666667,17.4782608695652,25.4166666666667,30.2916666666667,22.0833333333333,27.9583333333333,21.4166666666667,34.1666666666667,45.6363636363636,60.9130434782609,55.9166666666667,23.6666666666667,45.75,57.3333333333333,55.5,59.5,21.4583333333333,29.125,21.25,26.0416666666667,32.0416666666667,36.6666666666667,45.25,20,34.375,30.0833333333333,57.2916666666667,50.5,42.4583333333333,23.4166666666667,28.25,33.0833333333333,40.1666666666667,50.3478260869565,56.9166666666667,55.125,55.7083333333333,49.5833333333333,39.4583333333333,44,55.9583333333333,67.375,45.0833333333333,25.2083333333333,11,11.6666666666667,17.4166666666667,60.875,17.5,25,53.625,45.375,36.9166666666667,6.04166666666667,20.4761904761905,46.1666666666667,62.25,44.4166666666667,52.75,45.8333333333333,64.5,77.4761904761905,60,24.1666666666667,30.0833333333333,20.7916666666667,30.4583333333333,66.0416666666667,52.75,53.9583333333333,64.4166666666667,21.4166666666667,32.5833333333333,20.2916666666667,16.8333333333333,12.0416666666667,23.1818181818182,21.5416666666667,23.75,24.1666666666667,21.3478260869565,34.25,32.5,37.5,32.5416666666667,26,37.5175623,127.0472893
"강남대로",38.5454545454545,63.75,105.541666666667,58.875,38.5652173913044,28.8333333333333,22.125,24.0416666666667,31.304347826087,39.3333333333333,34.5416666666667,35.9166666666667,26.9583333333333,42.8333333333333,53.8181818181818,68.6666666666667,69.2916666666667,29.8333333333333,63.1666666666667,72.125,63.25,73.5416666666667,26.7083333333333,38.2083333333333,28.5416666666667,34.4583333333333,39.3478260869565,43.125,56.75,26.4583333333333,41.0833333333333,34.9166666666667,59.9166666666667,55.625,43.4583333333333,28.7083333333333,34.6666666666667,39.2916666666667,46.304347826087,54.5833333333333,60.6666666666667,61.8333333333333,65.5833333333333,63.5416666666667,50,54.1666666666667,64.625,71.5833333333333,52.5,29.4166666666667,11.2916666666667,18.7916666666667,26.0416666666667,79.5,26.875,35.1666666666667,61,51.375,47.2727272727273,9.66666666666667,27.5217391304348,52.25,68.0416666666667,50.9583333333333,57.4583333333333,49.4583333333333,65.4166666666667,84.4583333333333,70.1666666666667,24.2083333333333,29.7916666666667,31.9166666666667,34.2608695652174,65.0416666666667,57.7916666666667,53.2916666666667,69.9583333333333,25.5833333333333,41.4166666666667,20.875,25.3333333333333,20.875,29.4166666666667,30,33.5416666666667,26.3333333333333,28.4166666666667,44.4090909090909,40.6666666666667,41.5416666666667,35.0416666666667,33,37.482867,127.035621
"강동구",35.5217391304348,63.7083333333333,105.625,67.875,40.9090909090909,21.7916666666667,19.4166666666667,24.375,35.8333333333333,39.25,27.9166666666667,39.5,29.4166666666667,45.2083333333333,58.9166666666667,80.55,69.9166666666667,29.125,59.8333333333333,73.3333333333333,72.875,67.2916666666667,29.1666666666667,37.7916666666667,28.5,36,41.3333333333333,49.4583333333333,56.75,27.25,46.375,35.6666666666667,69.75,60.6666666666667,53.3333333333333,29.1666666666667,35.625,41.5416666666667,49.4166666666667,60.8333333333333,71.25,66.0416666666667,65.875,62.2916666666667,43.4166666666667,54.3333333333333,64.7916666666667,77.2083333333333,48.9583333333333,27.2083333333333,11.2083333333333,12.5833333333333,16.625,75.625,17.85,28.875,63.6666666666667,57.3333333333333,43.6666666666667,6.42105263157895,25.3333333333333,54.7083333333333,77.2916666666667,53.9583333333333,61.75,53.0833333333333,75.4166666666667,88.9583333333333,64.75,28.4347826086957,36.9047619047619,26,38.4583333333333,85.4583333333333,62.1666666666667,69.6666666666667,73.1666666666667,26.75,39.5833333333333,21,18.6521739130435,11.4166666666667,26.9166666666667,25.2083333333333,28.25,30.25,23.8333333333333,44.75,45,43.2083333333333,42.2916666666667,36,37.545089,127.136806
"강변북로",30.304347826087,64.6521739130435,103.625,53.3333333333333,36.125,22,18.2916666666667,22.5,32.5,35.5217391304348,26.3333333333333,29.8260869565217,26.375,39.5,51.9583333333333,68.2916666666667,64.375,28.4166666666667,57.9090909090909,72.0476190476191,66,65.375,25.0416666666667,35.875,27.5833333333333,29.2916666666667,38.4583333333333,46.5833333333333,51.4583333333333,22.4166666666667,39.4583333333333,38.75,64.5833333333333,58.7083333333333,49.5416666666667,29.3913043478261,32.2916666666667,40.125,45.7916666666667,58.625,65.4166666666667,66.75,73.7083333333333,62.9166666666667,47.375,51.9090909090909,70.5,81.7916666666667,57.125,25.375,7.95833333333333,9.70833333333333,17.2916666666667,76.2916666666667,18.9583333333333,29.7916666666667,64.2083333333333,57.25,38.5833333333333,8.09523809523809,28.3913043478261,53,74,56.8333333333333,66.9583333333333,55.7272727272727,80.2083333333333,94.1666666666667,70.7916666666667,27.0833333333333,25.75,24.25,34.5833333333333,76.6666666666667,61.625,66.7083333333333,77.9583333333333,27.0416666666667,43.2916666666667,21.875,21.1666666666667,16.3333333333333,30.7826086956522,30.125,31.4583333333333,27.2916666666667,27.2916666666667,42.9583333333333,42.7916666666667,42.7916666666667,38.5833333333333,34,37.539283,127.040943
"강북구",34.1304347826087,69.375,109.416666666667,61.375,37.8333333333333,22.7619047619048,19.625,25.3333333333333,30.9166666666667,39.5833333333333,29.2083333333333,38.4166666666667,29.2083333333333,40.5833333333333,52.1666666666667,71.8333333333333,71.5416666666667,32.625,59.5,71.2916666666667,62.5416666666667,67.4166666666667,28.4285714285714,43.1666666666667,30.4583333333333,36.9166666666667,36.2916666666667,47.25,59.7916666666667,25.25,36.875,39.7083333333333,64.7083333333333,52,53.3333333333333,29.0416666666667,31.5416666666667,39.4583333333333,44.7916666666667,56.0833333333333,64.5,63.75,61.375,54.5238095238095,49.75,45.9583333333333,68.25,75.4583333333333,55.125,25.8333333333333,13.125,14.5,17.6666666666667,65.6666666666667,17.9583333333333,31.0833333333333,55.2083333333333,57,38.8333333333333,10.4090909090909,22.9166666666667,53.375,77.9166666666667,51.25,58.5833333333333,48.0909090909091,67.5,92.875,69.125,20.1666666666667,35.1111111111111,26.7916666666667,32.125,77.625,69.0833333333333,70.5,77.0416666666667,28.75,37.25,22.7916666666667,16.2916666666667,12.8571428571429,25.125,23.5416666666667,29.5833333333333,28.25,26.0833333333333,43.5,42.2083333333333,45.0833333333333,42.7083333333333,24,37.64793,127.011952
"강서구",37.0869565217391,68.2083333333333,113.666666666667,60.7083333333333,36.3333333333333,22.9583333333333,18.5833333333333,23.1052631578947,28.9583333333333,33.625,26.4583333333333,36.6818181818182,25.5416666666667,42.9545454545455,52.4583333333333,67.125,66.9166666666667,29.9166666666667,59.25,65.4166666666667,63.5,77.8333333333333,27.9545454545455,31.0833333333333,26.8333333333333,34.25,39.3333333333333,47.5833333333333,60.6666666666667,26.25,43.6666666666667,38.3333333333333,82.625,66.6666666666667,51.5833333333333,28.25,39.5833333333333,51.5416666666667,52.5833333333333,78.25,84.375,72.4583333333333,67.8333333333333,64.0833333333333,61.0833333333333,54.2083333333333,73,84.4166666666667,64.875,41.375,10.25,13.8333333333333,21.375,89.2916666666667,26.6363636363636,42.2083333333333,70.2083333333333,64.4583333333333,48.6666666666667,11.0833333333333,29.6521739130435,58.5,75.0416666666667,52.8333333333333,68.25,57.9583333333333,78.75,85,76.1666666666667,29.125,35.1363636363636,24.2083333333333,38,83.875,60.5,62.625,83.0833333333333,23.9130434782609,33.9583333333333,23.9583333333333,18.375,15.2916666666667,30.0416666666667,26.375,28.5416666666667,26.875,23.1666666666667,44.0454545454545,44,47,38,38,37.544656,126.835094
"경수대로(동수원)",33.7826086956522,67.7916666666667,104.347826086957,56.7083333333333,36.625,24.4583333333333,22.0833333333333,22.6086956521739,33.1666666666667,39.125,27.5,32.7391304347826,25.9583333333333,36.2083333333333,51.304347826087,65.9166666666667,62.125,26.5833333333333,53.375,62.7916666666667,69.2916666666667,65.875,29.0416666666667,32.1666666666667,25.8333333333333,30.7083333333333,39.125,46.875,59.25,27.2916666666667,43,43.4166666666667,79.8333333333333,68.75,52,33.9583333333333,46.7083333333333,47,50,72.7916666666667,82.8333333333333,82.5833333333333,81.2083333333333,69.2083333333333,57.9166666666667,55.875,72.7916666666667,92.5,62.5833333333333,33.8333333333333,11.375,15.125,19.875,95.5416666666667,23.125,49.2083333333333,77.7083333333333,66.25,52.0833333333333,8.66666666666667,36.8333333333333,67.2083333333333,84.7083333333333,59.6666666666667,68.7916666666667,48.9166666666667,86,112.416666666667,89.9166666666667,26.6666666666667,34.4166666666667,29.125,36.9583333333333,83.4166666666667,63,70.2916666666667,87.4583333333333,29.7083333333333,42.7916666666667,22.5,22.625,27.625,36.25,33.4583333333333,39.3478260869565,35.5833333333333,28.4166666666667,48.9583333333333,55.7916666666667,48.9583333333333,41.625,49,37.2778,127.0306
"경안동",37.9565217391304,78.3333333333333,112.166666666667,72.125,49.2916666666667,25,22.5,26.9583333333333,34.75,42.25,32.875,34.9583333333333,31.375,46.3181818181818,66.125,87.5416666666667,72.6666666666667,31.4166666666667,62.0833333333333,86.2916666666667,83.5,75.5,38.695652173913,38.6666666666667,30.5416666666667,37.75,52,61.0833333333333,60,30.3478260869565,51.25,46.125,69.5416666666667,77.6666666666667,58.9166666666667,33.695652173913,42.7916666666667,50.0416666666667,55.875,69.2083333333333,81.5,74.5833333333333,82.3333333333333,75.6363636363636,54.4583333333333,57.8333333333333,70.125,84.0416666666667,61.2083333333333,29.5,12,12.125,20.3913043478261,92.6818181818182,18.9583333333333,39.5,77.3333333333333,61.8333333333333,53.9166666666667,10.4583333333333,28.7083333333333,60.6666666666667,85.625,64.25,71.3333333333333,64.8333333333333,86.125,108.833333333333,90.4166666666667,49.8260869565217,63.6818181818182,33.1666666666667,47.9166666666667,100.958333333333,75.875,95,88.75,33.5833333333333,50.9583333333333,30.2777777777778,18.4583333333333,16.625,33.625,26.9166666666667,36.0833333333333,37.7916666666667,26.0833333333333,44.9545454545455,54.5,47.875,43.7083333333333,49,37.4112,127.2579
"경춘로",54.1739130434783,91.875,133,87.375,44.125,26.2083333333333,24.9166666666667,34.4545454545455,47.5416666666667,42.5,33.4583333333333,57.0869565217391,33.875,53.0416666666667,66.6086956521739,84.7916666666667,72,36.0416666666667,66.75,72.1666666666667,76.125,70.7916666666667,45.5,42.0416666666667,35.5416666666667,58.2916666666667,66.2083333333333,64.875,70.5416666666667,46.3913043478261,70.6666666666667,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.609158,127.163109
"고색동",43.2857142857143,85.0833333333333,119.541666666667,94.0714285714286,NA,34.2857142857143,27.3333333333333,26.8333333333333,37.4583333333333,43.9583333333333,33.25,40.5,30.3333333333333,49,65.75,84.4583333333333,80.9583333333333,31.75,73.2083333333333,88.5,88.7083333333333,80.125,31.6666666666667,38.125,34.6666666666667,39.1666666666667,57.875,65.0416666666667,70.2272727272727,31.0833333333333,63.375,30.2608695652174,55.7826086956522,52.0869565217391,38.375,24.2916666666667,32.625,35.6666666666667,39,60.75,57.1,52.9473684210526,50.5714285714286,42.4166666666667,44.2857142857143,49.9166666666667,49.125,63.9565217391304,51.7916666666667,28.625,9.25,9.3,16.2916666666667,63.4166666666667,18.5833333333333,37.5,52.2608695652174,45.6190476190476,39.3913043478261,11.8095238095238,31.6666666666667,46.75,64.5833333333333,43.4782608695652,51.1666666666667,39.0833333333333,54.7058823529412,61.6875,58.6,67.1666666666667,102.4375,27.9166666666667,29.695652173913,62.0833333333333,40.9444444444444,43.375,54.8695652173913,25.0416666666667,30.7,18.2173913043478,13.0416666666667,24.0833333333333,26.8888888888889,18.5714285714286,28.4583333333333,36.4782608695652,27.5416666666667,37.7083333333333,37.1363636363636,36.5416666666667,31.625,NA,37.252226,126.976304
